author,book_format,date_published,description,genres,goodreads_url,isbn,language,pages,publisher,rating_average,rating_count,settings,title
Tony Hillerman,Paperback,January 9th 2001,"Three men raid the gambling casino run by the Ute nation and then disappear into the maze of canyons on the Utah-Arizona border. When the FBI, with its helicopters and high-tech equipment, focuses on a wounded deputy sheriff as a possible suspect, Navajo Tribal Police Sergeant Jim Chee and his longtime colleague, retired Lieutenant Joe Leaphorn, launch an investigation of their own. Chee sees a dangerous flaw in the federal theory; Leaphorn sees intriguing connections to the exploits of a legendary Ute bandit-hero. And together, they find themselves caught up in the most perplexing -- and deadly -- criminal manhunt of their lives.","['Westerns', 'Indian Literature', 'Thriller', 'Mystery', 'Audiobook', 'Crime', 'Detective', 'Native Americans', 'Mystery Thriller', 'Asian Literature', 'Fiction']",https://www.goodreads.com/book/show/48116.Hunting_Badger,,English,318,HarperTorch,4.03,7426,['United States'],Hunting Badger
Nora Roberts,Mass Market Paperback,July 1st 2000,"A talented songwriter, Shawn Gallagher spends his days lost in reverie and wonder, oblivious to the wiles of women and the ways of the world. He claims that he's content with his life, but his music tells a different story—one of loneliness and desperate longing…No one understands why Shawn doesn't put his musical gift to profitable use—least of all Brenna O'Toole, a fiercely independent tomboy who has been secretly in love with him for years. But it is only when Shawn gives in to the mysteries of magic that he gets the chance to fulfill his destiny as a man and a musician—as the song in his head keeps time with the beating of a woman's heart…","['Contemporary', 'Adult', 'Contemporary Romance', 'Ireland', 'Womens Fiction', 'Fantasy', 'Cultural', 'Fiction', 'Paranormal Romance', 'Chick Lit', 'Romance', 'Paranormal']",https://www.goodreads.com/book/show/59819.Tears_of_the_Moon,9780515128543,English,346,Berkley Books,4.19,31163,,Tears of the Moon
Alastair Reynolds,Mass Market Paperback,May 28th 2002,"Nine hundred thousand years ago, something annihilated the Amarantin civilization just as it was on the verge of discovering space flight. Now one scientist, Dan Sylveste, will stop at nothing to solve the Amarantin riddle before ancient history repeats itself. With no other resources at his disposal, Sylveste forges a dangerous alliance with the cyborg crew of the starship Nostalgia for Infinity. But as he closes in on the secret, a killer closes in on him. Because the Amarantin were destroyed for a reason — and if that reason is uncovered, the universe—and reality itself — could be irrecoverably altered….","['Speculative Fiction', 'Space', 'Audiobook', 'Aliens', 'Hard Science Fiction', 'Space Opera', 'Science Fiction', 'Horror', 'Fiction', 'Science Fiction Fantasy']",https://www.goodreads.com/book/show/89187.Revelation_Space,9780441009428,English,585,Ace Books,3.98,46273,,Revelation Space
Jodi Picoult,Hardcover,November 1st 2004,"The small town of Paradise, Pennsylvania, is a jewel in Lancaster County - known for its picture-postcard landscapes and bucolic lifestyle. But that peace is shattered by the discovery of a dead infant in the barn of an Amish farmer. A police investigation quickly leads to two startling disclosures: the newborn's mother is an unmarried Amish woman, eighteen-year-old Katie Fisher. And the infant did not die of natural causes. Although Katie denies the medical proof that she gave birth to the child, circumstantial evidence leads to her arrest for the murder of her baby. One hundred miles away, Philadelphia defense attorney Ellie Hathaway has achieved an enviable, high-profile career. But her latest court victory has set the sands shifting beneath her. Single at thirty-nine and unsatisfied with her relationship, Ellie doesn't look back when she turns down her chance to make partner and takes off for an open-ended stay at her great-aunt's home in Paradise. Fate brings her to Katie Fisher. Suddenly, Ellie sees the chance to defend a client who truly needs her, not just one who can afford her. But taking on this case challenges Ellie in more ways than one. She finds herself not only in a clash of wills with a client who does not want to be defended but also in a clash of cultures with a people whose channels of justice are markedly different from her own. Immersing herself in Katie Fisher's life -- and in a world founded on faith, humility, duty, and honesty -- Ellie begins to understand the pressures and sacrifices of those who to live plain. As she peels away the layers of fact and fantasy, Ellie calls on an old friend for guidance. Now, just as this man from Ellie's past reenters her life, she must uncover the truth about a complex case, a tragic loss, the bonds of love -- and her own deepest fears and desires.","['Contemporary', 'Adult', 'Mystery', 'Novels', 'Realistic Fiction', 'Womens Fiction', 'Drama', 'Fiction', 'Chick Lit', 'Adult Fiction', 'Amish']",https://www.goodreads.com/book/show/14864.Plain_Truth,9780743275019,English,405,Atria Books,3.97,167031,['United States'],Plain Truth
Joan Bauer,Paperback,June 2nd 2005,"When Hope and her aunt move to small-town Wisconsin to take over the local diner, Hope's not sure what to expect. But what they find is that the owner, G.T., isn't quite ready to give up yet - in fact, he's decided to run for mayor against a corrupt candidate. And as Hope starts to make her place at the diner, she also finds herself caught up in G.T.'s campaign - particularly his visions for the future. After all, as G.T. points out, everyone can use a little hope to help get through the tough times... even Hope herself.Filled with heart, charm, and good old-fashioned fun, this is Joan Bauer at her best.","['Contemporary', 'Teen', 'School', 'Academic', 'Realistic Fiction', 'Young Adult', 'Coming Of Age', 'Fiction', 'Family', 'Middle Grade', 'Childrens']",https://www.goodreads.com/book/show/522471.Hope_Was_Here,9780142404249,English,186,Puffin Books,4.01,19607,,Hope Was Here
J.D. Robb,Mass Market Paperback,September 1st 2000,"'She stood in Purgatory and studied death. The blood and the gore of it, the ferocity of its glee. It had come to this place with the wilful temper of a child, full of heat and passion and careless brutality.' In an uptown strip joint a cop is found bludgeoned to death. The weapon's a baseball bat. The motive is a mystery. It's a case of serious overkill that pushes Eve Dallas straight into overdrive. Her investigation uncovers a private club that's more than a hot spot. Purgatory's a last chance for atonement where everyone is judged. Where your ultimate fate depends on your most intimate sins. And where one cop's hidden secrets are about to plunge innocent souls into vice-ridden damnation...","['Romantic Suspense', 'Futuristic', 'Thriller', 'Mystery', 'Crime', 'Mystery Thriller', 'Science Fiction', 'Suspense', 'Fiction', 'Romance']",https://www.goodreads.com/book/show/89160.Judgment_in_Death,9780425176306,English,356,Berkley Books,4.35,32511,['United States'],Judgment in Death
Sandra Brown,Paperback,November 1st 2006,"Hammond Cross sees a beautiful woman across a crowded dance floor and knows he has to be with her. After they spend the night together, she mysteriously disappears. Later, while prosecuting the biggest murder case of his career, Hammond discovers that Dr. Alex Ladd, the prime suspect, is also his mystery woman. Now, he faces a moral dilemma and a haunting question. Is she innocent of the crime or was he used as her perfect alibi? And if she isn't the killer, is she the next victim?","['Romantic Suspense', 'Contemporary', 'Thriller', 'Mystery', 'Contemporary Romance', 'Crime', 'Mystery Thriller', 'Suspense', 'Fiction', 'Romance']",https://www.goodreads.com/book/show/30347.The_Alibi,9780446618670,English,564,Hachette Books,4.04,23815,['United States'],The Alibi
Stephenie Meyer,Hardcover,August 2nd 2008,"""Don't be afraid,"" I murmured. ""We belong together.""I was abruptly overwhelmed by the truth of my own words. This moment was so perfect, so right, there was no way to doubt it.His arms wrapped around me,holding me against him....It felt like every nerve ending in my body was a live wire.""Forever,"" he agreed.WHEN YOU LOVED THE ONE WHO WAS KILLING YOU, IT LEFT YOU NO OPTIONS. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved?TO BE IRREVOCABLY IN LOVE WITH A VAMPIRE is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.NOW THAT BELLA HAS MADE HER DECISION, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life - first discovered in Twilight, then scattered and torn in New Moon and Eclipse - seem ready to heal and knit together, could they be destroyed... forever?THE ASTONISHING, BREATHLESSLY anticipated conclusion to the Twilight Saga, Breaking Dawn illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions.","['Vampires', 'Shapeshifters', 'Urban Fantasy', 'Young Adult', 'Fantasy', 'Supernatural', 'Werewolves', 'Fiction', 'Paranormal Romance', 'Romance', 'Paranormal']",https://www.goodreads.com/book/show/1162543.Breaking_Dawn,9780316067928,English,756,"Little, Brown and Company",3.7,1381577,['United States'],Breaking Dawn
Joyce Carol Oates,Mass Market Paperback,April 28th 2002,"« Alors, en début de soirée, ce 3 août 1962, vint la Mort, index sur la sonnette du 12305 Fifth Helena Drive. La Mort qui essuyait la sueur de son front avec sa casquette de base-ball. La Mort qui mastiquait vite, impatiente, un chewing-gum. Pas un bruit à l'intérieur. La Mort ne peut pas le laisser sur le pas de la porte, ce foutu paquet, il lui faut une signature. Elle n'entend que les vibrations ronronnantes de l'air conditionné. Ou bien... est-ce qu'elle entend une radio là ? La maison est de type espagnol, c'est une « hacienda » de plain-pied ; murs en fausses briques, toiture en tuiles orange luisantes, fenêtres aux stores tirés. On la croirait presque recouverte d'une poussière grise. Compacte et miniature comme une maison de poupée, rien de grandiose pour Brentwood. La Mort sonna à deux reprises, appuya fort la seconde. Cette fois, on ouvrit la porte.De la main de la Mort, j'acceptais ce cadeau. Je savais ce que c'était, je crois. Et de la part de qui c'était. En voyant le nom et l'adresse, j'ai ri et j'ai signé sans hésiter. »","['Contemporary', 'The United States Of America', 'Novels', 'Historical Fiction', 'Historical', 'Womens', 'Fiction', 'Literature', 'American', 'Literary Fiction']",https://www.goodreads.com/book/show/15975.Blonde,9782253152859,French,1110,Le Livre de Poche,4.0,9985,,Blonde
Catherine Ryan Hyde,Paperback,October 1st 2000,"The story of how a boy who believed in the goodness of human nature set out to change the world.Pay It Forward is a wondrous and moving novel about Trevor McKinney, a twelve-year-old boy in a small California town who accepts the challenge that his teacher gives his class, a chance to earn extra credit by coming up with a plan to change the world for the better -- and to put that plan into action.The idea that Trevor comes up with is so simple and so naïve that when others learn of it they are dismissive. Even Trevor himself begins to doubt when his ""pay it forward"" plan seems to founder on a combination of bad luck and the worst of human nature.In the end, Pay It Forward is the story of seemingly ordinary people made extraordinary by the simple faith of a child. In the tradition of the successful and inspirational television show Touched by an Angel, and the phenomenally successful novel and film Forrest Gump, Pay It Forward is a work of charm, wit, and remarkable inspiration, a story of hope for today and for many tomorrows to come.","['Media Tie In', 'Contemporary', 'Adult', 'Novels', 'Realistic Fiction', 'Young Adult', 'Drama', 'Fiction', 'Inspirational', 'Adult Fiction']",https://www.goodreads.com/book/show/215631.Pay_It_Forward,9780743412025,English,311,Pocket Books,4.18,24023,['United States'],Pay It Forward
Gail Godwin,Paperback,February 29th 2000,"A bestselling novel by a distinguished author brings to life the people of a small Smoky Mountain town and a woman whose world is indelibly altered by them. Beautifully written and filled with the insight and compassion Godwin is known for, ""Evensong"" is about family, the sometimes uncomfortable bonds of marriage, and the quest for religious faith.","['Contemporary', '20th Century', 'Book Club', 'Novels', 'Marriage', 'Fiction', 'Christian Fiction', 'Literature', 'Religion', 'Adult Fiction', 'Spirituality']",https://www.goodreads.com/book/show/77112.Evensong,9780345434777,English,432,Ballantine Books,3.75,1902,,Evensong
Jonathan Franzen,Paperback,September 2nd 2002,"Winner of the National Book Award for FictionNominated for the National Book Critics Circle AwardAn American Library Association Notable BookJonathan Franzen's third novel, The Corrections, is a great work of art and a grandly entertaining overture to our new century: a bold, comic, tragic, deeply moving family drama that stretches from the Midwest at mid-century to Wall Street and Eastern Europe in the age of greed and globalism. Franzen brings an old-time America of freight trains and civic duty, of Cub Scouts and Christmas cookies and sexual inhibitions, into brilliant collision with the modern absurdities of brain science, home surveillance, hands-off parenting, do-it-yourself mental healthcare, and the anti-gravity New Economy. With The Corrections, Franzen emerges as one of our premier interpreters of American society and the American soul.Enid Lambert is terribly, terribly anxious. Although she would never admit it to her neighbors or her three grown children, her husband, Alfred, is losing his grip on reality. Maybe it's the medication that Alfred takes for his Parkinson's disease, or maybe it's his negative attitude, but he spends his days brooding in the basement and committing shadowy, unspeakable acts. More and more often, he doesn't seem to understand a word Enid says.Trouble is also brewing in the lives of Enid's children. Her older son, Gary, a banker in Philadelphia, has turned cruel and materialistic and is trying to force his parents out of their old house and into a tiny apartment. The middle child, Chip, has suddenly and for no good reason quit his exciting job as a professor at D------ College and moved to New York City, where he seems to be pursuing a ""transgressive"" lifestyle and writing some sort of screenplay. Meanwhile the baby of the family, Denise, has escaped her disastrous marriage only to pour her youth and beauty down the drain of an affair with a married man--or so Gary hints.Enid, who loves to have fun, can still look forward to a final family Christmas and to the ten-day Nordic Pleasurelines Luxury Fall Color Cruise that she and Alfred are about to embark on. But even these few remaining joys are threatened by her husband's growing confusion and unsteadiness. As Alfred enters his final decline, the Lamberts must face the failures, secrets, and long-buried hurts that haunt them as a family if they are to make the corrections that each desperately needs.","['Contemporary', 'The United States Of America', 'Novels', 'Unfinished', 'Fiction', 'Literature', 'American', 'Family', 'Literary Fiction', 'Adult Fiction']",https://www.goodreads.com/book/show/3805.The_Corrections,9781841156736,English,653,Fourth Estate Paperbacks,3.8,161961,['United States'],The Corrections
John Grisham,Paperback,February 3rd 2004,"""The hill people and the Mexicans arrived on the same day. It was a Wednesday, early in September 1952. The Cardinals were five games behind the Dodgers with three weeks to go, and the season looked hopeless. The cotton, however, was waist-high to my father, over my head, and he and my grandfather could be heard before supper whispering words that were seldom heard. It could be a ""good crop.""Thus begins the new novel from John Grisham, a story inspired by his own childhood in rural Arkansas. The narrator is a farm boy named Luke Chandler, age seven, who lives in the cotton fields with his parents and grandparents in a little house that's never been painted. The Chandlers farm eighty acres that they rent, not own, and when the cotton is ready they hire a truckload of Mexicans and a family from the Ozarks to help harvest it.For six weeks they pick cotton, battling the heat, the rain, the fatigue, and sometimes each other. As the weeks pass Luke sees and hears things no seven-year-old could possibly be prepared for, and he finds himself keeping secrets that not only threaten the crop but will change the lives of the Chandlers forever. ©2000, 2001 Belfry Holdings, Inc. (P)2001 Random House, Inc. Bantam Doubleday Dell Audio Publishing, a Division of Random House, Inc.","['Thriller', 'Mystery', 'Novels', 'Historical Fiction', 'Young Adult', 'Historical', 'Suspense', 'Drama', 'Coming Of Age', 'Fiction', 'Adult Fiction']",https://www.goodreads.com/book/show/5360.A_Painted_House,9780385337939,English,384,Bantam,3.7,84648,['United States'],A Painted House
Newt Scamander,Hardcover,June 1st 2001,"An approved textbook at Hogwarts School of Witchcraft and Wizardry since publication, Newt Scamander's masterpiece has entertained wizarding families through the generations. Fantastic Beasts and Where to Find Them is an indispensable introduction to the magical beasts of the Wizarding World. Scamander's years of travel and research have created a tome of unparalleled importance. Some of the beasts will be familiar to readers of the Harry Potter books - the Hippogriff, the Basilisk, the Hungarian Horntail ... Others will surprise even the most ardent amateur Magizoologist. This is an essential companion to the Harry Potter stories, and includes a new foreword from J.K. Rowling (writing as Newt Scamander) and six new beasts!","['Audiobook', 'Short Stories', 'Young Adult', 'Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Dragons', 'Middle Grade', 'Magic', 'Childrens']",https://www.goodreads.com/book/show/41899.Fantastic_Beasts_and_Where_to_Find_Them,9780439321600,English,128,Arthur A. Levine Books,3.97,351618,,Fantastic Beasts and Where to Find Them
James Patterson,Mass Market Paperback,August 1st 2003,"Beautifully captures the joys of a new family as it builds to an overwhelmingly moving climax. This is an unforgettable love story, at once heartbreaking and full of hope.James Patterson has written a love story!--a powerfully moving and suspenseful novel about families, loss, new love, and hope. Katie Wilkinson has found her perfect man at last. He's a writer, a house painter, an original thinker--everything she's imagined she wanted in a partner. But one day, without explanation, he disappears from her life, leaving behind only a diary for her to read. This diary is a love letter written by a new mother named Suzanne for her baby son, Nicholas. In it she pours out her heart about how she and the boy's father met, about her hopes for marriage and family, and about the unparalleled joy that having a baby has brought into her life. As Katie reads this touching document, it becomes clear that the lover who has just left her is the husband and father in this young family. She reads on, filled with terror and hope, as she struggles to understand what has happened--and whether her new love has a prayer of surviving. Written with James Patterson's perfect pitch for emotion and suspense, Suzanne's Diary for Nicholas captures beautifully the joys of a new family as it builds to an overwhelmingly moving climax. This is an unforgettable love story, at once heartbreaking and full of hope.","['Contemporary', 'Adult', 'Mystery', 'Contemporary Romance', 'Love', 'Womens Fiction', 'Drama', 'Fiction', 'Chick Lit', 'Adult Fiction', 'Romance']",https://www.goodreads.com/book/show/7494.Suzanne_s_Diary_for_Nicholas,9780446611084,English,289,Vision,4.16,142567,['United States'],Suzanne's Diary for Nicholas
John Grisham,Paperback,November 6th 2004,"Imagine a year without Christmas. No crowded shops, no corny office parties, no fruitcakes, no unwanted presents. That's just what Luther and Nora Krank have in mind when they decide that, just this once, they'll skip the holiday altogether. Theirs will be the only house on the street without a rooftop Frosty the snowman; they won't be hosting their annual Christmas Eve bash; they aren't even going to have a tree. They won't need one, because come December 25 they're setting sail on a Caribbean cruise. But, as this weary couple is about to discover, skipping Christmas brings enormous consequences - and isn't half as easy as they'd imagined.A classic tale for modern times, Skipping Christmas offers a hilarious look at the chaos and frenzy that has become part of our holiday tradition.","['Christmas', 'Contemporary', 'Adult', 'Audiobook', 'Book Club', 'Comedy', 'Holiday', 'Humor', 'Fiction', 'Adult Fiction']",https://www.goodreads.com/book/show/5357.Skipping_Christmas,9780099481683,English,198,Arrow,3.51,60391,['United States'],Skipping Christmas
Charlaine Harris,Mass Market Paperback,May 1st 2001,Sookie Stackhouse is just a small-time cocktail waitress in small-town Louisiana. Until the vampire of her dreams walks into her life-and one of her coworkers checks out....Maybe having a vampire for a boyfriend isn't such a bright idea.,"['Vampires', 'Mystery', 'Urban Fantasy', 'Horror', 'Fantasy', 'Supernatural', 'Fiction', 'Paranormal Romance', 'Romance', 'Paranormal']",https://www.goodreads.com/book/show/301082.Dead_Until_Dark,9780441008537,English,292,Ace Books,3.96,508066,['United States'],Dead Until Dark
Gwyn Hyman Rubio,Paperback,March 8th 2001,"Icy Sparks is the sad, funny and transcendent tale of a young girl growing up in the mountains of Eastern Kentucky during the 1950’s. Gwyn Hyman Rubio’s beautifully written first novel revolves around Icy Sparks, an unforgettable heroine in the tradition of Scout in To Kill a Mockingbird or Will Treed in Cold Sassy Tree. At the age of ten, Icy, a bright, curious child orphaned as a baby but raised by adoring grandparents, begins to have strange experiences. Try as she might, her ""secrets""—verbal croaks, groans, and physical spasms—keep afflicting her. As an adult, she will find out she has Tourette’s Syndrome, a rare neurological disorder, but for years her behavior is the source of mystery, confusion, and deep humiliation.Narrated by a grown up Icy, the book chronicles a difficult, but ultimately hilarious and heartwarming journey, from her first spasms to her self-acceptance as a young woman. Curious about life beyond the hills, talented, and energetic, Icy learns to cut through all barriers—physical, mental, and spiritual—in order to find community and acceptance.","['Contemporary', 'Book Club', 'Novels', 'Historical Fiction', 'Young Adult', 'Historical', 'Womens Fiction', 'Coming Of Age', 'Fiction', 'Chick Lit', 'Adult Fiction', 'Literary Fiction']",https://www.goodreads.com/book/show/3476.Icy_Sparks,9780142000205,English,320,Penguin Group,3.7,40065,['United States'],Icy Sparks
